rows_seen,rows_treated,rows_control,absolute_effect,standard_error,fixed_low,fixed_high,sequential_low,sequential_high,sequential_excludes_zero,fixed_excludes_zero
20000,17054,2946,0.0011049920817791275,0.0007773772949270036,-0.0004186394186769713,0.0026286235822352262,-0.016870712124315,0.019080696287873254,False,False
22348,19037,3311,0.0010638171795575187,0.0007682846776412418,-0.0004419931184932804,0.002569627477608318,-0.01575539110972349,0.01788302546883853,False,False
24972,21270,3702,0.0010590852045819779,0.0007501643730715486,-0.0004112099491233262,0.002529380358287282,-0.014489999063659538,0.016608169472823495,False,False
27904,23775,4129,0.0010806994918606792,0.0007254874623191298,-0.00034122980552017484,0.002502628789241533,-0.01315855018577154,0.0153199491694929,False,False
31180,26548,4632,0.0010226206099005863,0.0006895747409130913,-0.0003289210469376114,0.002374162266738784,-0.01179469286484092,0.013839934084642094,False,False
34841,29673,5168,0.001181766706011939,0.0006251503519764921,-4.350546878452389e-05,0.0024070388808084017,-0.009823728886504875,0.012187262298528753,False,False
38931,33170,5761,0.0013547950658626504,0.0005684978177048312,0.0002405598178715641,0.002469030313853737,-0.00812562195192016,0.010835212083645462,False,True
43502,36993,6509,0.0015097382343913566,0.0005386074816391286,0.000454086968574846,0.0025653895002078673,-0.006999806650699556,0.01001928311948227,False,True
48609,41305,7304,0.0016329450473483332,0.0005095610040826657,0.000634223831420241,0.0026316662632764254,-0.0059956029344176605,0.009261493029114326,False,True
54316,46173,8143,0.00145012827167822,0.00049380462879629,0.00048228898383832113,0.002417967559518119,-0.0055562309863037935,0.008456487529660234,False,True
60694,51566,9128,0.0013431685941619606,0.00048731359843013895,0.00038805149206227357,0.0022982856962616475,-0.005211105063906883,0.007897442252230803,False,True
67819,57637,10182,0.0009217310105208171,0.0005037490619242644,-6.559900809657848e-05,0.0019090610291382128,-0.005502416265791018,0.007345878286832652,False,False
75782,64408,11374,0.001046760172757472,0.00046462219367642753,0.00013611740673368043,0.0019574029387812637,-0.004572684651237786,0.006666204996752731,False,True
84679,71976,12703,0.0011255763694478407,0.00043613097439190507,0.00027077536709734613,0.0019803773717983354,-0.0038785508377208386,0.00612970357661652,False,True
94621,80353,14268,0.0011566995744816788,0.0004125623331099308,0.00034809226020839773,0.00196530688875496,-0.0033354515854203386,0.005648850734383697,False,True
105730,89776,15954,0.001171634466735779,0.0003892750057919282,0.00040866947530197883,0.0019345994581695795,-0.0028520693851713163,0.005195338318642874,False,True
118144,100378,17766,0.0009429335161048012,0.00039300884752168307,0.00017265032935670868,0.0017132167028528938,-0.0029148841463170353,0.004800751178526638,False,True
132014,112220,19794,0.0010890752544831439,0.00037212765778304037,0.0003597184475771384,0.0018184320613891494,-0.0023813848073260466,0.004559535316292334,False,True
147514,125442,22072,0.0012347098181670498,0.0003507096924200843,0.0005473314519945646,0.0019220881843395351,-0.001874129574519631,0.004343549210853731,False,True
164833,140152,24681,0.0012086488563532402,0.000326865485996858,0.0005680042760102171,0.0018492934366962633,-0.0015468357143125435,0.003964133427019024,False,True
184185,156616,27569,0.0010779771336015425,0.000312956406754341,0.00046459384763196637,0.0016913604195711186,-0.0014323767488276036,0.0035883310160306887,False,True
205810,174981,30829,0.0010919430418907484,0.00029407015053873546,0.0005155761379065549,0.001668309945874942,-0.001153953553955651,0.003337839637737148,False,True
229973,195514,34459,0.001093586577503056,0.00027878917944283466,0.0005471698265156256,0.0016400033284904862,-0.0009350036249616217,0.0031221767799677336,False,True
256974,218494,38480,0.0011077560287149567,0.00026761351028359266,0.0005832431867827758,0.0016322688706471378,-0.000748861308683318,0.0029643733661132315,False,True
287144,244109,43035,0.0010861748019574567,0.00025046764147308834,0.0005952672453775128,0.0015770823585374006,-0.0005719128782843898,0.002744262482199303,False,True
320857,272717,48140,0.0009821035415211693,0.00024037947555359643,0.0005109684268134939,0.0014532386562288446,-0.0005376317600210671,0.0025018388430634057,False,True
358528,304668,53860,0.0009655432957183011,0.00022474786336186791,0.0005250455779267109,0.0014060410135098914,-0.0003927225133753933,0.0023238091048119955,False,True
400621,340425,60196,0.0009356056548534683,0.00021332946969990696,0.000517487577400622,0.0013537237323063146,-0.00029805011596846986,0.0021692614256754064,False,True
