fact,expected,observed,tolerance,matches
rows,13979592.0,13979592.0,0.0,True
control_rows,2096937.0,2096937.0,0.0,True
treated_rows,11882655.0,11882655.0,0.0,True
exposed_control_rows,0.0,0.0,0.0,True
treatment_share,0.85,0.8500001287591226,1e-06,True
compliance_rate,0.03604,0.036036727482199896,5e-06,True
visit_control_rate,0.038201,0.03820095691954503,1e-06,True
visit_treated_rate,0.048543,0.048543360048743316,1e-06,True
conversion_control_rate,0.001938,0.0019375880152813366,1e-06,True
conversion_treated_rate,0.003089,0.0030894610674129645,1e-06,True
conversion_treated_count,36711.0,36711.0,0.0,True
