total_rows,rows_treated,rows_control,mde_absolute,mde_relative,mde_absolute_cuped,mde_relative_cuped
20000,17000,3000,0.0024397387091674404,1.2591627786328932,0.0023261805672887418,1.200554787159427
23657,20108,3549,0.0022431370258681293,1.1576955514675946,0.0021387297499251166,1.1038103730294668
27983,23786,4197,0.002062672846104448,1.0645569800373424,0.0019666653126636227,1.0150069556339942
33101,28136,4965,0.0018964576989854386,0.9787724139644175,0.0018081866838807802,0.9332152498983292
39153,33280,5873,0.0017437100473819257,0.8999384975700008,0.001662548703254431,0.8580506744169916
46313,39366,6947,0.0016032659550805329,0.8274545168714514,0.0015286416102225332,0.7889404755636741
54782,46565,8217,0.0014741643409141828,0.7608244525088761,0.0014055490573393373,0.7254117213019882
64800,55080,9720,0.0013554103939819111,0.6995348770182739,0.0012923225373826343,0.6669748817552372
76650,65153,11497,0.0012462638910066485,0.6432037570307183,0.0011882562809205968,0.6132657053765183
90666,77066,13600,0.0011458684761185205,0.5913891224973029,0.0010925337913441006,0.5638627937040916
107246,91159,16087,0.001053577898168293,0.5437574395893,0.0010045388973970652,0.5184481373101427
126857,107828,19029,0.0009687168797835607,0.49996019388203305,0.0009236277526317884,0.47668944344583913
150055,127547,22508,0.0008907074099646777,0.4596990706692349,0.0008492492496899271,0.43830228252450076
177494,150870,26624,0.0008189684059617471,0.42267416989717155,0.0007808493524381376,0.4030007134023064
209952,178459,31493,0.0007530038053521727,0.3886294709780381,0.0007179550877816906,0.3705406320225634
248345,211093,37252,0.0006923559107595566,0.35732875373871825,0.0006601300619630602,0.34069681312887856
293758,249694,44064,0.0006365935672494572,0.328549496708682,0.0006069631882432357,0.31325709255850503
347476,295355,52121,0.0005853252783352557,0.3020896463638927,0.0005580811924203891,0.2880288214103946
411017,349365,61652,0.0005381830522962662,0.2777592801213329,0.0005131332110244417,0.2648309170873639
486177,413251,72926,0.0004948373342254168,0.25538831285223795,0.000471805028349505,0.24350121110807924
575082,488820,86262,0.0004549818259947749,0.2348186623814928,0.00043380460297724315,0.22388897926490064
680244,578207,102037,0.00041833601367731406,0.21590555390412647,0.0003988644775592727,0.205856185326042
804636,683941,120695,0.00038464419069033447,0.19851701582417372,0.00036674084742857355,0.1892770003407164
951776,809010,142766,0.0003536644775332136,0.18252821277998138,0.00033720309141581356,0.17403239943495
1125822,956949,168873,0.0003251799551249166,0.16782719162189938,0.0003100443869833653,0.1600156403415548
1331695,1131941,199754,0.00029898964937362523,0.1543102284982972,0.00028507311442000364,0.14712782705698724
1575214,1338932,236282,0.0002749087789335518,0.14188195672423956,0.00026211309306582655,0.13527803175834976
1863265,1583775,279490,0.0002527672721641358,0.13045460137584208,0.00024100216729989327,0.12438256502371063
2203990,1873392,330598,0.00023240944589796885,0.11994781350060278,0.00022159190025996175,0.11436481775914925
2607022,2215969,391053,0.00021369093720275653,0.1102870865826081,0.00020374464841622353,0.10515375136991643
3083753,2621190,462563,0.0001964800693796893,0.10140446154192408,0.00018733486398899845,0.09668456994548325
3647662,3100513,547149,0.00018065547096013802,0.09323729788548829,0.00017224682476972073,0.08889754860746835
4314690,3667487,647203,0.0001661053626502511,0.08572790569523249,0.00015837395425484686,0.0817376826269495
5103693,4338140,765553,0.0001527271562178136,0.07882333861134959,0.0001456184392026087,0.07515449004336713
6036978,5131432,905546,0.00014042636571094568,0.07247483190618098,0.00013389019152926237,0.0691014758933785
7140926,6069788,1071138,0.0001291163375601955,0.06663766318839864,0.000123106590973635,0.06353599939859247
8446748,7179737,1267011,0.00011871721918136718,0.06127062009316233,0.0001131915017065468,0.058418766432198156
9991358,8492656,1498702,0.00010915565933713096,0.05633584563707245,0.00010407498663915226,0.053713682071903524
11818422,10045660,1772762,0.00010036417040845036,0.05179850908289064,9.569269937757512e-05,0.049387536784325434
13979592,11882655,2096937,9.228077217163973e-05,0.04762662209088892,8.798554458043636e-05,0.04540983113361222
