feature,segment,segment_label,rows_treated,rows_control,mean_treated,mean_control,absolute_effect,standard_error,confidence_low,confidence_high,z_statistic,p_value,relative_lift,relative_low,relative_high,log_ratio_standard_error,successes_treated,successes_control,significant_uncorrected,benjamini_hochberg_q,significant_corrected
f0,1,f0 q2,5949663,1040133,0.005546364558799381,0.0034207163891540795,0.0021256481696453012,6.48423047917872e-05,0.0019985595875788294,0.002252736751711773,32.78181083277181,1.0696618454259667e-235,0.6214043866322867,0.5663860459852879,0.6783552124513204,0.017613382123116687,32999.0,3558.0,True,4.100370407466206e-235,True
f0,2,f0 q3,2968160,526737,0.000803191202630586,0.0006094122873464366,0.0001937789152841494,3.777085407658711e-05,0.00011974940162872078,0.000267808428939578,5.130382143099763,2.8915455636690733e-07,0.3179767118380903,0.173050649175289,0.4808078527289361,0.0594347751324817,2384.0,321.0,True,3.3252773982194344e-07,True
f0,3,f0 q4,2964832,530067,0.0004479174536702248,0.0003471259293636465,0.00010079152430657833,2.8384038585646368e-05,4.515983094291623e-05,0.00015642321767024044,3.5509930696595084,0.0003837805224757859,0.29036011366638625,0.10602588384503031,0.5054161455541695,0.0786483999562946,1328.0,184.0,True,0.0003837805224757859,True
f1,1,f1 q2,11882655,2096937,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,33.51226743420042,3.194105972880377e-246,0.5944881177252619,0.5436975782271105,0.6469497610321502,0.016516727992766368,36711.0,4063.0,True,1.4692887475249735e-245,True
f2,1,f2 q2,8918456,1566233,0.0038553758632660184,0.0024325882547488143,0.001422787608517204,4.449711082329008e-05,0.001335574873887468,0.0015100003431469402,31.974831223705152,2.4410512739241347e-224,0.5848863266274873,0.5327901525183392,0.6387531353876681,0.01705285561181052,34384.0,3810.0,True,8.020597042893586e-224,True
f2,2,f2 q3,2964199,530704,0.0007850350128314596,0.00047672525550966264,0.000308309757321797,3.409532383535033e-05,0.0002414841505632803,0.0003751353640803137,9.042581874589462,1.530142160238482e-19,0.6467241954533871,0.44639350992921933,0.8748013989804924,0.06618221347954523,2327.0,253.0,True,2.0701923344402993e-19,True
f3,0,f3 q1,2179845,355752,0.01162834972211327,0.006934606130113112,0.0046937435920001574,0.00015693976046427435,0.004386147313747837,0.005001339870252478,29.907931413394998,1.5518807696177116e-196,0.6768579936527117,0.6092009451509037,0.7473596068596111,0.02101265755148507,25348.0,2467.0,True,3.965917522356374e-196,True
f3,1,f3 q2,9702810,1741185,0.0011711040409943098,0.0009166171314363494,0.00025448690955796036,2.5426491296164453e-05,0.0002046519023642569,0.00030432191675166387,10.008730917440792,1.3953088601930472e-23,0.27763708622724126,0.21245165555883694,0.3463271022965926,0.026718794132183945,11363.0,1596.0,True,2.0057564865275052e-23,True
f4,1,f4 q2,11882655,2096937,0.0030894610674129645,0.0019375880152813366,0.0011518730521316279,3.437168357507502e-05,0.0010845057902364738,0.001219240314026782,33.51226743420042,3.194105972880377e-246,0.5944881177252619,0.5436975782271105,0.6469497610321502,0.016516727992766368,36711.0,4063.0,True,1.4692887475249735e-245,True
f5,0,f5 q1,641097,100346,0.018752232501477936,0.011888864528730593,0.006863367972747343,0.0003818008003551124,0.006115052154782755,0.007611683790711931,17.9763058808775,2.9874591766801424e-72,0.577293816088269,0.48674605284850836,0.6733562382787062,0.030164191631494926,12022.0,1193.0,True,5.285504697203329e-72,True
