peek,rows_per_arm,fixed_horizon_single_look_rate,fixed_horizon_any_look_rate,sequential_any_look_rate,nominal_alpha
1,2500,0.0495,0.0495,0.0,0.05
2,5000,0.0515,0.083,0.0,0.05
3,7500,0.0525,0.106,0.0,0.05
4,10000,0.053,0.127,0.0005,0.05
5,12500,0.0505,0.1445,0.0015,0.05
6,15000,0.051,0.1575,0.002,0.05
7,17500,0.049,0.1705,0.002,0.05
8,20000,0.0545,0.1815,0.003,0.05
9,22500,0.0545,0.1925,0.0035,0.05
10,25000,0.052,0.1995,0.004,0.05
11,27500,0.054,0.209,0.004,0.05
12,30000,0.053,0.216,0.006,0.05
13,32500,0.06,0.224,0.0075,0.05
14,35000,0.0595,0.232,0.008,0.05
15,37500,0.057,0.2385,0.0085,0.05
16,40000,0.053,0.2435,0.0085,0.05
17,42500,0.051,0.2505,0.009,0.05
18,45000,0.0535,0.255,0.009,0.05
19,47500,0.049,0.259,0.01,0.05
20,50000,0.0515,0.2625,0.01,0.05
